Region,Product,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),2022-04-01,Phuentsholing,98497.76,98.5
Western Region,HSD (in KL),2022-04-01,Rinchending,98578.22,98.58
Western Region,HSD (in KL),2022-04-01,Pasakha,98631.86,98.63
Western Region,HSD (in KL),2022-04-01,Chimakothi,100206.55,100.21
Western Region,HSD (in KL),2022-04-01,Lungtenzampa,100650.06,100.65
Western Region,HSD (in KL),2022-04-01,Paro Town,100667.39,100.67
Western Region,HSD (in KL),2022-04-01,Haa,101502.7,101.5
Western Region,HSD (in KL),2022-04-01,Bajo Town,100772.16,100.77
Western Region,HSD (in KL),2022-04-01,Beychu,101085.06,101.09
Western Region,HSD (in KL),2022-04-01,Samtse Town,98001.89,98
Western Region,HSD (in KL),2022-04-01,Sipsoo,99702.4,99.7
Western Region,HSD (in KL),2022-04-01,Gomtu,98060.23,98.06
Western Region,HSD (in KL),2022-04-01,Gedu,99801.95,99.8
Western Region,HSD (in KL),2022-04-01,Khuruthang,100743.31,100.74
Western Region,HSD (in KL),2022-04-01,Gasa,102265.75,102.27
Western Region,HSD (in KL),2022-04-01,Motithang,100650.06,100.65
Western Region,HSD (in KL),2022-04-01,Olakha,100650.06,100.65
Western Region,HSD (in KL),2022-04-01,Paro NIE Bridge,100667.39,100.67
Western Region,HSD (in KL),2022-04-01,Langlitsawa,101040.36,101.04
Western Region,HSD (in KL),2022-04-01,Wangdue Zero Point,100772.16,100.77
Western Region,HSD (in KL),2022-04-01,Phuentsholing Main gate,98497.76,98.5
Region,Product,Approved_Date,Station,RSP/KL,RSP/L
Western Region,MS (in KL),2022-04-01,Phuentsholing,91373.05,91.37
Western Region,MS (in KL),2022-04-01,Rinchending,91453.51,91.45
Western Region,MS (in KL),2022-04-01,Pasakha,91507.15,91.51
Western Region,MS (in KL),2022-04-01,Chimakothi,93327.14,93.33
Western Region,MS (in KL),2022-04-01,Lungtenzampa,93754.35,93.75
Western Region,MS (in KL),2022-04-01,Paro Town,93791.95,93.79
Western Region,MS (in KL),2022-04-01,Haa,94717.67,94.72
Western Region,MS (in KL),2022-04-01,Bajo Town,93763.31,93.76
Western Region,MS (in KL),2022-04-01,Beychu,94076.21,94.08
Western Region,MS (in KL),2022-04-01,Samtse Town,90875.96,90.88
Western Region,MS (in KL),2022-04-01,Sipsoo,92605.11,92.61
Western Region,MS (in KL),2022-04-01,Gomtu,90934.45,90.93
Western Region,MS (in KL),2022-04-01,Gedu,92926.99,92.93
Western Region,MS (in KL),2022-04-01,Khuruthang,93728.78,93.73
Western Region,MS (in KL),2022-04-01,Gasa,95461.2,95.46
Western Region,MS (in KL),2022-04-01,Motithang,93754.35,93.75
Western Region,MS (in KL),2022-04-01,Olakha,93754.35,93.75
Western Region,MS (in KL),2022-04-01,Paro NIE Bridge,93791.95,93.79
Western Region,MS (in KL),2022-04-01,Langlitsawa,94031.51,94.03
Western Region,MS (in KL),2022-04-01,Wangdue Zero Point,93763.31,93.76
Western Region,MS (in KL),2022-04-01,Phuentsholing Main gate,91373.05,91.37
